anchor_id,positive_id,negative_id
SOBYWCK12A58A7C5C0,SOHDWVO12A8C13E740,SOAIEHA12AC3DF681C
SODGXZY12A8C13BA84,SOYZQDG12A8C13C4F3,SONMFRA12A8C13A229
SOQVFBJ12A8C133ED5,SOVZOCV12A8C13306A,SOZHFMV12AB01815B5
SOETVON12AB0181732,SOVGOOO12AB0182D50,SOPEDLJ12AF72ABB8F
SORYGIL12A6D4FAFDA,SOHBOGO12A8C13B8F8,SOXTXUA12AF72A8963
SOOLDYX12AB01851BF,SOAFQNN12A6D4FA5E3,SOSYTMR12AB018A208
SOXLLSY12A81C20BCF,SOPNXVB12AB0182DC4,SOVGPMI12AB0183BA2
SOGKZMG12AB018401D,SOMGKBR12AB0187650,SOFKBHX12AB0183909
SORWSJX12A8C13A90B,SOLDNEG12A8C136D03,SOGJYPB12A8C13679D
SOJXMCM12AC96186D7,SOGICMJ12A81C1F73D,SOHBUTH12A42806447
SOHFQNH12A8C13BC8B,SOZFTBV12AF72A2C68,SOUIQTV12D021B32E6
SOGFGOM12AB017E1F0,SOUPUNK12A58A7AE60,SOTBEQR12A8C13B7CF
SOCLQGT12A8C142EC7,SOJXTZP12A6D4FABE0,SOCHHXJ12A6D4F8E9B
SOSGUXT12A8C143B39,SOVZJCG12A58A79527,SOXJGDR12AAF3B2586
SOSMURB12AB01880D6,SOAJXIJ12AB018810B,SOQIGZD12AB0187DF8
SOCBUYU12A8C13D518,SOJYWZM12A8C13D52A,SOLSWAV12A8C141F80
SOKYYGN12A58A7C856,SOWLLSW12AB0184EE8,SOPNFYY12AB01828D4
SOGXFQK12AC4689F4C,SOHORHX12AC4689F58,SORYXZH12AB0183263
SOBVBID12A8AE474E3,SOXFPBO12A8C13BBBF,SOUDHWL12A8C133F15
SOTDDQI12A8C1393EB,SOGJARY12A8C13A1A6,SOGMKQS12A8C139FCD
SORJNLM12A8C1372C2,SOPEONG12A8C14306E,SOLKWQZ12AAF3B2F2B
SOIVSUJ12AAF3B1E79,SOAMNXU12AB018C55D,SOCZGVZ12AC3DF4D93
SOTITOB12A58A7BCCC,SOMVQQU12A8C13F701,SOTXVKA12A8AE4667F
SOZVZIO12AB017C39B,SOXVWRD12AB018145B,SOWHOUW12A8C13848D
SOAVUEY12AB017FE08,SOPHEUR12AB0180E21,SOEPEIB12CF5F892C8
SOZQVBA12A8C13CAAD,SOGPDBF12A6D4F7FAB,SOKWFMU12A6310E276
SOKEOPP12AB017F799,SOMKTRO12AB017DE4D,SOBUFIY12A8C144654
SOOHWTU12AB018500F,SOSVQQE12AB018B6EB,SODLOPC12AB0186EB3
SOQXHTZ12AC3A3E841,SOYACQH12AB01865E2,SOQANLU12A8C142FEF
SONSFOO12AB0187F10,SOMIMTG12A8C144DA2,SOTCWTN12AB017EB37
SOSAROI12A6D4F8074,SOCSRYF12A8AE458AE,SODQTUE12A6D4F38B6
SOAHSPT12A8C13C0E8,SOXRWKY12A8C13C0A8,SOPONGM12AF72A1C1F
SOGHIQI12A8AE46CDC,SOESAWL12A81C1FCC2,SOQIMOE12A58A7A85E
SOKZYIN12A8C13BDB2,SOMWKLL12A8C13B123,SOIIKZG12A8C13ACEA
SOBBNMI12AB017DE47,SOLVSGJ12AB017C67B,SOQAHLN12A8C13F853
SOCDHVN12AB0184CC2,SOAEBMM12A8AE47FD0,SOCFQBI12A6D4FEEF0
SOMTOVM12A67AE0DB5,SOZTHIH12A6D4F8279,SOOHXDO12AC468D5A6
SOAFUPM12A6D4FD26F,SOGQWZF12A8C13DDDD,SOLQNEQ12AC468B31D
SOXSPAK12A8C140120,SOLWETO12A6D4F7F3E,SOCJLPU12AB01890F6
SOTAXIY12A8C138365,SOZXZPX12A8C1315C0,SOGHYWT12AB0187740
SOASSDS12A8C139543,SOULXDZ12A58A7746D,SOTUQMP12A6D4F70D6
SOAXEJI12A6D4FCE3E,SOEWDGW12A58920580,SOQRNZI12AB0180CCB
SONSZAI12A8C133064,SOOFESB12A8C133038,SOBESOI12AB0181A4D
SOTNWCI12AAF3B2028,SOVCFPI12AAF3B2045,SOBJGNB12A6D4F8C6F
SOJTYOG12AB018689C,SOSGINH12AB0185A9F,SOYCFVX12A8AE45C63
SOBIXMW12AB01857AC,SOLMJVU12AB0180E82,SOEHPMK12A58A7B025
SOFYIQI12A6D4F8D85,SOSYGHA12AB0186AEC,SOKFTWE12AB017FFB4
SOOPBZY12AB018379D,SOSXSIN12AB0180963,SODDPIA12A6D4F7485
SOXCWTT12AC9075756,SOHCCIA12AC907577F,SOLHEQO12AB017DBCB
SOVOXXJ12A6D4FB599,SOKRBIR12A8C12FF4B,SOCJOEJ12AB0183492
SOGEVQD12AB01868AD,SOGNRDZ12AC3DF7EB2,SOWXKUV12A58A80BB4
SONIJUW12A8C141C74,SOAFJHO12A8C143F4F,SOINJHA12A8C134C60
SOQTHEE12A6D4FBD68,SOADUHA12AB01846BE,SORUBRQ12AF72ABC90
SOOOMUY12AB018AB88,SOEXMEX12AB0183D4A,SOWCAIA12AB0182D34
SOPZIOA12AB018E385,SOFAFZA12A58A78F8D,SOMAQHE12AB0180A64
SOSJWEM12A6701F538,SODNOUY12A8AE48231,SOFLELE12A8C13B2B4
SOIBLOP12A8C137E85,SOHXIOI12AB017FF8E,SOCWPIY12A8C135062
SOPEDZG12AB0188EB1,SOBNOQL12AC468746C,SOYUJQX12A8AE48479
SOWDNGM12A58A7979A,SOOIPND12A6D4F6FF9,SOJNGJK12A8C13B517
SOEAZXB12AB01826FB,SOIYWXJ12AB0185160,SOWYSGV12A6701D47C
SOEWKBZ12AB017E3E7,SOTHIGU12AB0180D67,SOOOOZO12A8C139F93
SOFYXVK12A8C145137,SONHUBY12A8C145EA4,SOZQBLB12A8C141242
SOALJQJ12AB0183D02,SODMUKC12AB017E2F3,SOXCBRH12D021B1EF5
SOCIWBP12AB0184AAC,SOTYZYT12AB018BE98,SOKADJU12A6D4FCFCF
SOHMHLN12AC90977FE,SOKCMEE12A8C13742B,SOESMEA12AB017EE0B
SOCHRFX12A6D4F32F8,SOUECAV12A8C144995,SOJRYQZ12AB017C13E
SOVTZLS12AB0184CB5,SOKATSJ12AB0186AB3,SOVKMRX12A6D4F84ED
SOGNDHO12AB017D71F,SOTAGIH12AB018152A,SOMYAMQ12A8C13268E
SOZIPQO12AB01892C5,SOQHTGX12AB0187D02,SOOFLJN12A8C1440B9
SORNGOF12A8C144013,SOPBRUE12A8C142018,SOXZFPY12A6D4F5D7A
SOMTQGN12A8C133FB2,SOVZOCV12A8C13306A,SOZRIFJ12A67ADA4BE
SOEIQUY12AF72A086A,SOQVXCF12AF72A419B,SOYURXS12A6D4F8A51
SOYMDFH12A8C13CEEF,SOSAUKQ12A8C13CEED,SODEWQE12A8C143E6A
SOVIEHU12A81C234C3,SOQCEXG12A81C23489,SOJBAQO12AB018133C
SOFMGKK12A8C141251,SOCWERZ12A8C132275,SOLTVQF12A8C13170C
SOKYVJB12A8C13E23C,SOGHPNO12A582A2482,SOGOIXU12AAF3B4946
SOBIEXW12AB017B909,SORGEGW12AB017AC5C,SOQHMXV12A6D4F7F16
SOQNDOJ12AB01841BD,SOVDDFH12A8C134FE5,SOSOKMO12AB01803E9
SOXDLDJ12A6D4F903E,SOAWCPI12A6D4F901D,SOWMHFS12AB017F85E
SOERPVK12AB0185466,SOOHXQA12AC468C52D,SOJUNHV12AB017D490
SOGDGSO12A8C13A52D,SOOKOGH12A8C13CCD0,SOGOUPG12A8C1355CE
SOWGPIX12AB017FD9B,SOSRRVC12AF72A1B32,SOQCOGC12AB018B2A4
SOHXUPD12A8C141044,SOTXBKP12A8C140389,SOAXFNS12AB0182FAB
SODSIZV12AB018A3AB,SOSAVBB12A8C13D255,SODBINY12AB017DAC4
SOQTEBF12AB0180E05,SOBUVYW12AB0184EC5,SOGDKCC12A6D4F607C
SOIYSPN12A67021466,SOTUPIO12A67021463,SOEFVHC12AB0181BF9
SOSPENT12A8C14532A,SOITKPG12AB018BB58,SOAFZGF12AB01823ED
SOVFQWV12A8C135BD0,SOZRGYM12A8C135BD4,SOKUWZA12AB017FB9B
SOZVZPG12AB0181965,SOYLXJG12AB018197C,SONZIHC12A8C137082
SOLBUCG12A8C133BA1,SOKVIZM12A8C134AB6,SOYOUQH12A58A7C6B4
SODLFJN12AB0182559,SOOAKKQ12AB01842C1,SOIBKJL12AB0186D2C
SOHZWRJ12A8C14081B,SOGDBUF12A8C140FAA,SOSNZJG12AB0181E8D
SOFZNXJ12D02198864,SOTYFIH12D0219BD95,SOXBIQX12A6D4F8D50
SOGAMZP12A8C140BC2,SOFIFVH12A8C140BCE,SOAQOFF12A6D4FD226
SOTOTZW12AB0185944,SOCWBWM12AB018505F,SOUMPRK12A8C1336CE
SOULMYP12A8C143D8B,SOVRDND12A8C13AE30,SOJLDJL12A81C238A0
SOGPAZU12AB0184FC5,SOIEMLS12AB0180F34,SOMBYGQ12AC3DF5CA0
SOFBNZN12A6D4FBEE0,SOCUGUF12A8C1415B3,SONGSKT12AB0185A91
SOBKJPO12AC3DFA006,SOGXKOP12A58A7FA1C,SOESPKO12A8AE45845
SOYZIWD12A8C1426F1,SOTQHXH12AB017EE0D,SOYOPWA12A8AE48A5A
SOILEXV12A6D4F87BA,SOEGOVA12A6D4F6CE1,SOQDZYQ12A6D4F9B54
SOMKZCX12AB0187D3C,SORCJAA12AB01895B2,SODGXZY12A8C13BA84
SOPLOFR12AB01819B3,SONHEUO12AF72A4792,SOLULIQ12A8C138A42
SOMBEHT12AB017D26F,SOIFHMG12A8C136351,SOUGUXL12AB0184B76
SOBDRZV12A8C134650,SOFLVLO12A8C13DDD9,SOAMKAB12A8C13B8C5
SOUSKYH12A8C134308,SOIQYPT12A8C134312,SOROUET12AB0187809
SOJBARN12AB017F60B,SOCQMZP12A6D4F8E03,SOCVXPM12AB0184AC4
SOGVWEU12AC46890C2,SOQSBTI12AB0180DB0,SOYOKRV12AB01877D3
SOJQSVJ12A8C1360AF,SOVTGNO12A8C134DA9,SOKOIZD12AB018C13E
SOCWIDQ12A8C14110C,SOSAZGK12A58A7C8CA,SOJIWHN12A6D4F9CE2
SOSBMJE12A8C13B36A,SOKHOBW12A8C1364F2,SOXJWKB12AB0181728
SOERFXP12A8C1394C1,SOLAOJM12A6D4F7CA9,SOHXPIA12A8C137A2A
SOXUSID12AB018875D,SOPWNFW12AB0181A81,SOJWKFY12A6D4F6949
SOZJVII12AB01862A9,SOPVQEW12A8C13D4FD,SOQNEAP12AB01875BE
SOMYJNH12AAFF4366E,SOWMMLA12AAFF436AD,SOHZENU12A6D4FA379
SOGVXYT12AB0183DBF,SOIIPFM12AB0183DBA,SOEHHOO12AB0187D31
SOPGSDI12AB01814F5,SOTLVRA12A8C13F6F3,SODYNLW12AB01899CD
SOGOYAT12AC3DF7A36,SORZFWY12A6D4F7A0E,SOCXQSA12AAF3B3145
SOIJXRM12B35058DF6,SOXZLVU12A8C14228A,SOHHLEA12AB017BD6E
SOTOTZW12AB0185944,SOWDBJB12A8C13CFE9,SOZVTQM12CF5F88285
SOEXEQG12AC468B98E,SOODHIM12AC468E954,SOCVXLO12A8C140989
SOHFFAF12AAF3B53D0,SOHVPTO12A8C138ADF,SOMVWTL12A8C13CC30
SONECJP12A6D4F847B,SOXZSFM12A6D4F8477,SOJYARC12A6D4F9961
SOTWSNV12AB0182B88,SOGVJNV12A8C132B9E,SOXRWKY12A8C13C0A8
SOHTQFO12A8C13A253,SORHDVT12A8C1394BE,SOGUVIL12A8C136751
SOODOVP12A6701E939,SOWOYGM12A6D4FB4C1,SOFTBCN12A8C13AAC1
SOXAUYW12A6D4F7DAB,SOZJQGK12A6D4FD5BE,SOMXBNG12A8AE46E32
SOSHGSJ12A6D4FA8DA,SOQKFSN12AB01895F2,SOTJPOT12A8C13A645
SOPOIWM12AB0181B35,SOZTYLN12AB0184F8A,SOMSGKW12AB018E316
SORNPDW12A8C13FECC,SOINLQO12AB017CE17,SOYRAZC12A81C21EAB
SOQYHYG12AB017CF0B,SOEBFAJ12AB017F810,SODJTND12A8C13BA1B
SOAIZPG12A8C1343FA,SOVDKQY12A6D4F8B72,SOKAHJS12AB017C94A
SOZTASA12AC468CEF5,SOJEEMD12A8C1348D2,SOBFWIT12A8AE4795E
SOVHVWZ12AB018A631,SOYVYNF12AB01814D4,SOJKPOZ12A6D4FB995
SOADMFM12A8C131911,SOXUCKJ12A8C13CB75,SOPBJWH12B0B809492
SOGXAKG12AB01887A0,SOKBSLW12AB01883CB,SOCNBUC12A81C2075A
SOFMRUH12A6D4F5BED,SOBBBRT12AC468AA75,SOUPTKX12AC468DE33
SOZOGUO12A8C13BD9E,SOSLEMJ12A8C13F86B,SOHRTYN12AB018CCDE
SOBWEUA12AB017EBA4,SOUCYKQ12A81C21720,SOWKYRL12A8C13C012
SOEDPKA12AB0189379,SOEYKQN12AB0182155,SOBPDZF12A8AE46DC7
SOUBUIS12A6D4F963F,SONLDYQ12A6D4F97F1,SONOLOH12A8C130DEF
SOUGFLQ12A8AE46464,SOEZOYP12AB01831C3,SOXUQVP12AB0188B59
SOGDYRW12AB017E67C,SOSAVCU12AB018373B,SOQPWWG12AB01830FF
SOGEAAI12A8C137985,SOUZUJD12A8C13795D,SOPLPVG12A58A77BDE
SOERGVA12A6D4FEC55,SOOMIBN12A6D4FEC7D,SOHWWOM12AB0186627
SOZVJGT12A8C137370,SOTLKVX12A8C13BE9F,SOBFMCW12A8C140DA6
SOPLZYS12A8AE48DE6,SOZMVGJ12A8AE4565D,SOWIAMM12A6D4F8E90
SOHCZXK12AC468CFF9,SOEYYEI12AC468968A,SOXWSNO12AB0181372
SOOGFBZ12AC3DF7FF2,SOBABBA12AC468ADD9,SOGACUB12A8C1402D0
SOIVDKY12A8C140269,SOUJQHC12AB017D6B7,SOCPHKW12AB0182D36
SOIMDBI12B0B806778,SOKRRXA12AC468D4D9,SOKIGYH12A8AE483C2
SOGGADA12A8C13BBDE,SOYAHKN12A8C132CE0,SOZYVXL12A81357359
SOEKAPH12A8C13DCAA,SOQRWBX12AC3DF52D2,SOFZTUG12A8C1446E8
SOCOLEP12A6D4F8825,SOWPUQN12A6D4F8821,SOZXYCW12AB0183D58
SOHQVZQ12AB018940F,SOOHCMF12AC468BA13,SOTOZVC12AB01870D1
SONIDSY12A6D4FC3E8,SOSKUXJ12AB017D89D,SOPBLUD12AB018C2CF
SOKXPYH12A8C133FDC,SOMHLCJ12A8C133FD8,SOQEWHW12AB01820BA
SOAHZAB12A8C13671C,SOSOGVR12A8C138463,SOHCKOO12A8C139EF8
SOFGOGB12A8C13D18E,SOKMSZA12A8C13EB7D,SOKHPKQ12A8C140897
SOXQEAV12A58A7C501,SOGDJFN12A81C21EE7,SOKMJQR12A8AE45ACB
SOTLLRE12A6D4F8EFF,SOQTVUL12A6D4F8F04,SOHWHCE12A8C133385
SOOYECG12A8C13C23C,SOQURVQ12AF72AA900,SOEXEQG12AC468B98E
SOTKPQM12AB0186920,SOGHBAR12A8C13E813,SOAVCWP12A6D4F8A89
SONPCNG12AB0184E68,SOONWCU12AB017EF1F,SODIBKP12A6D4FA73B
SOCEZZL12A81C23CD9,SOIEEVA12A8C13A41B,SOLFNHK12A8C13CCE7
SOZFPJT12AB0188040,SONFAPY12AB01861E8,SOFPSUJ12A6D4FA20A
SOCXMVV12A58A76D0B,SOQVZNH12A8C130FDA,SOFFPQU12AB01821BA
SOMLSMH12A6310DF24,SOLXXYQ12A6310DF27,SOXPFDQ12AB01874A9
SODACJN12AB018A5BC,SOOZAVB12AB01829AA,SODPAKW12A8C133C69
SOHZDPE12A6D4F7CAC,SOIAAMV12A58A7B8C9,SOFPAOE12AB0182705
SOLCCXX12AC46887FC,SOGMYFG12A8C135488,SOJNZPK12AC3DF511D
SOLEKCZ12A8C137683,SOVCOYL12A8C134FE3,SOJFXMC12A6D4FA3EE
SOZVETB12A81C2277A,SOQWWSJ12AC960A335,SOJOVLB12AC4687C5F
SOUOYOO12A8C13FE42,SOLBFIS12A8C13F40A,SOWWBGS12AB017BB4D
SOMMFEJ12A6D4F933D,SOZTGAG12A6D4F7CE9,SOBOWKY12A67ADEA7E
SOCWKAG12A8C137CE7,SOEROFB12AB0183179,SOKAQQI12AB0189752
SOEUWAU12AB018B659,SOUGVRX12A8C1337CB,SODBFFJ12A8C130BE3
SOXIYFY12AB018529B,SOJJTSZ12AB018C056,SOZFHFF12A6701E914
SOQHAXR12A8C142BC7,SOXNKFT12A8C13316A,SOJPXMB12A6D4F8034
SOKOGBT12CF530D570,SOERMBU12CF566502C,SOFYSOD12AB017ED5D
SODWQYM12A8C13E73D,SOAIOOJ12A8C1385D2,SOOEOFR12A81C21729
SOKCUEF12AB018FDDC,SODPTCW12A6D4FAA13,SOIGXJJ12AB018D2DF
SOKAQQI12AB0189752,SOTWJNY12AB018B214,SOOEOFR12A81C21729
SOGXEMD12A6D4F9F7C,SOEBZBI12A6D4F8A6C,SOMRUQD12AC468EF9C
SOSNQRQ12A6D4F9D36,SOEKMKP12A6D4F8367,SOZOHSV12A6D4FA6CE
SOKVDCH12AB0180E0E,SOBVRJV12AB01847FC,SOCAXTL12AB017CE4C
SOQMFPS12A6D4F76D7,SOYQOFI12A6D4F76E1,SOYANWO12AC3DFA49C
SOPYZBH12A6D4FD36D,SOTJKUJ12A6D4FB577,SOPDENX12AB0184291
SOFLGMJ12AB01885F6,SOPQUHV12A8C143FB2,SOPFOLH12AB018AD11
SOHTSBX12A8C13CF26,SOJCTOW12A8C13E1ED,SOSFOAG12AB018C8A0
SOROWAY12AB0186FE6,SOHCTYE12AB0182F87,SOYWKMX12A6D4FA6A0
SOIUGDX12A6D4FDECA,SOZAJPJ12AAF3B3872,SOAXGWR12A8C1386B6
SOTZUTG12A8C14292B,SOVNXWY12AB0186D00,SORYDPO12AB017DEB4
SOBKZYZ12AB0186303,SOOPXDX12AB018D9E3,SOCUGVI12AC468B002
SOWZPSA12AB0187979,SOQKKPE12A8C13C2CD,SOPCEHF12AB0188A66
SOADHGA12A58291FD9,SOUUGSJ12A6BD522C5,SOHJWNE12A8C14140B
SOTNKRT12AB01872EE,SOUFPAM12AB018E632,SOCSCSS12AB018A486
SOAWXZP12A6D4F4699,SOIVRAK12A6D4F4667,SOJKDEC12A8C131E8B
SORFBRJ12A58A76A92,SONZMIR12A58A7D46D,SOROYFK12AB018C915
SOXGWPP12A8C143982,SOUKITA12A8C143887,SODWMKI12AB01887A1
SOXFKLN12A8C13DC28,SOHWUNZ12A8C136F71,SOOCZJH12A8C138B39
SOYQYEU12AAF3B21A3,SORTQKM12A58A7ED66,SOEVGMZ12A8C1421B5
SONZSIQ12A6D4F9C1F,SOPYZYL12A6D4F9C38,SODIDYN12A8C13E6E8
SORKFZC12AB017D785,SOZKWYF12AB01821A6,SODHRKU12A8C139009
SORHMLD12A6D4FA524,SOBUCCC12A6D4FD1EC,SOTYJVR12AC468B3BD
SODMYSJ12A81C20C88,SOPMSCV12A81C20C82,SOFITAZ12A8C13AE9E
SOFOPOH12A58A7D86C,SOJPILR12A8AE47969,SOCUFWV12AB01894F6
SODNLVN12A8C140993,SOVRCIX12AB01818F9,SOYYFCM12AB018536D
SOMRNWP12A6D4F9697,SOWYVCL12AAA8C877B,SORVTHZ12A8AE4540B
SOXUFZU12AC46887E7,SOMUHJU12AC46887E9,SOHPPKS12AB017ADC6
SOPYLWU12AB017F4F0,SOSNZVL12AB017CD61,SOLMBLD12AB018AB90
SOBPNDP12A58A7A1F4,SOBUXTL12A8C138004,SOYUUDD12A6D4FB7B4
SOAVASV12AB017BC9D,SOFDBDI12AB0180323,SOISVYS12A8C144452
SOWGUVZ12AB0184815,SOFETMX12A58A7A3D8,SOYSCPE12AB0181BBF
SORFOSW12A6D4FD14B,SOAAUVF12A58A7D58C,SOJISRJ12A8C1323D7
SOSIZQF12AB017D74A,SOLOHPV12A8C1460C6,SOMBMFL12AB018641C
SOLFJAP12A6D4F50A5,SOSBIZB12A58A7AEBF,SOCGURO12AB01895EB
SOQDWIX12A6D4F6EE5,SOBJWRU12A6D4FD522,SORHAIL12AB018224A
SOOAMZV12AB0184733,SOIDFDQ12AB018B098,SOFHRKG12A6D4F8A90
SOSTTEG12AC3DF402E,SOVEXXG12AC3DF4028,SODQDRK12A8C1425D2
SORQYNG12AB0183861,SOFGWHI12A6D4FA589,SOEHJVI12A58A7ABE2
SOTXOBZ12A8C136984,SOVNVOW12A8C13696A,SODHEUA12A6D4F97B9
SOETFHV12AB018C514,SODKHLW12AB01886FB,SOETWIB12A58A7A90D
SOEULPB12A8C136DDF,SODOBCV12A8C135BB3,SOVRQRH12AB01864A3
SOKZRXU12AB018F5CC,SOMIDKH12AB018F5AC,SOLVMXQ12AB018D655
SOYAVOL12A8C14426B,SONXRSQ12A6D4F7B6A,SORFDKB12A6D4F469F
SORSRIX12A81C202BA,SOXXNNR12A8C14109A,SOSLDUO12A8C13F7E0
SONLZFO12AB01875F9,SOFHQOT12AC9071288,SODKBOC12AB018A548
SODEQFD12A58A7EB95,SOEMGOC12AB018790A,SORTBUX12AB018BF10
SOLGJDQ12A8C1312BB,SOBNWPN12A67ADD8F0,SOWWSZO12AB01849D2
SOABWGO12AB0182725,SODNFCT12AB018CE42,SOLAHLU12AB0183C14
SOSOKRB12A6D4FBC1D,SONEGWF12A8C133022,SOCIFXP12A8C13FE67
SOHPOXA12A81C21FBE,SOKJPAY12A8C13D42F,SOHCPCO12A6D4F7B2C
SOGSNMI12AB0183CF7,SOTCZQN12AB017FF67,SOVMWTZ12A8C136E39
SOJKLUW12A6D4FAED9,SOAGXZI12A6D4FA029,SOGYAWU12A8C13B316
SOLQIER12AC468D91E,SOHQPEV12AB0187F7B,SOEASNK12AB017F9CA
SOAWFDJ12AAF3B4057,SOSXMVV12AAF3B24F7,SOTNAWQ12AB01870F4
SOGFMRQ12AB0180418,SORLIJP12AB0181E5A,SOEQGOO12A6D4FD61B
SONCXRN12A58A78503,SOWYSGV12A6701D47C,SOQHDHM12A8C145F54
SOQFSVV12A8C142D2A,SOVTFBM12A8C142D22,SOOXXEI12A8C135245
SOCAEYG12AB01849C0,SOUBXTR12AB0186DF5,SOTHZUA12A8C13268A
SOBYZPD12A8C1375B7,SOESDHP12A8C1375AD,SOAXPUV12A8C133C03
SORGSDN12A6D4FCA0A,SOINCFI12A58A7C357,SOLRXNO12AB0180D2B
SOFNMIH12AB0188F42,SOASHMR12AB0188F58,SOLWKJC12A6D4F789C
SOOMBLJ12AB0184FA0,SOUHQFW12AB018CBEE,SOYABTI12A8C13B9A2
SOFJPMV12AB017EA9F,SOWQSYD12A58A7A24E,SOITAJG12A8C132B26
SOCHRFX12A6D4F32F8,SOUECAV12A8C144995,SOYHAFH12A8C13720C
SOVGLNE12A8C13512E,SOPLYPW12A8C135170,SOMGCON12A8C13284F
SOKGOOQ12AB018053F,SOMGQBM12AB017F262,SOGFFAL12AC46898EA
SOGBIDD12A8C13E474,SOIMXPP12A58A7DA1E,SOJBKCD12AB0182AE3
SOZENAA12AF729FB2C,SOMGIRB12A6D4FD49A,SODPOTV12AB0187285
SOWTXYU12AB01821CB,SOWFFPE12AB01821B0,SOANWEY12A58A7B504
SOVCMVZ12AB0182A94,SOGDLOO12AB0182A87,SOBZMVV12AB017F74C
SONUYEX12A8C141378,SOGSCOA12A8C141218,SOCXWVO12A58A7E7C6
SOUYMFA12AB0189A53,SOAQXNU12AB0188721,SOSHGSJ12A6D4FA8DA
SOCZTAP12A6BD563A2,SOQWLUH12A6BD563A4,SORKLMV12A8C13BDEF
SOZIJSR12AB018AC6E,SODLTFO12AB0180917,SOAFMBJ12AB0179C61
SORFFTP12AB0185D7B,SOSXHGF12A58A78DB2,SOEBMJG12A8C1371BC
SOKJUZQ12AB0185E37,SOIXAJN12AB0183EE3,SOYZYOG12AB018325E
SORAUDC12A6D4F7273,SOWCMJZ12A8C13B854,SOQZVZI12AB01880C2
SOIZUDK12A8C13A1EF,SOHVJLY12A8C13A217,SOAMFHI12A8C144116
SOYUATG12AB0187986,SODMDKI12AB018796E,SOSQPYX12AB0180671
SOOJMEN12AB017B79F,SOYCJFP12AB017B7C4,SOKCZNM12A8C1318BA
SOYDJRJ12AC4685EDB,SOCHEWB12AC4685ED1,SOHOOXT12A67ADA073
SOJCSBQ12A6D4F8645,SOOVOGW12AB018C389,SOJBGRU12A6D4FC11F
SOOBOGB12A58A764C3,SODMJRE12A6D4F8658,SOYGYXG12AB0186BC8
SOXFPBO12A8C13BBBF,SOBVBID12A8AE474E3,SOIGOEO12A8C13A345
SOKUHDO12A67020452,SOMNUEB12A67020451,SOPMTAP12AB018098D
SOMYOVE12A8C1341DE,SOHHBXG12AB01867BC,SOBUHAC12A6D4FB25B
SOMYZYH12AC468C94A,SOVQAIK12AC468C956,SOPUPKV12A6D4FD6FD
SOIDOHE12A8C135371,SOKXISM12A8C14335E,SOJKAQK12A6D4FA4BB
SOGXKOP12A58A7FA1C,SOBKJPO12AC3DFA006,SOSFGSY12AB0188254
SOESMAB12AB0187E01,SOQWQYD12AB0182E13,SODPULM12AB018BB9A
SOQDMSY12AB017F542,SOGFYME12AB017F649,SOOLNET12A8AE451D9
SOELGKJ12A58A7CD11,SOQJLFV12AB01897C7,SOCARFI12A8AE470BA
SOJCFUI12A6D4FC28C,SOVUWVD12AB0185694,SOHXMHY12A67ADAC02
SOXNONO12AC3DFA5D1,SOGQWWL12AC3DFA5D6,SOTHFFU12A8AE46F13
